id,text,political,racial/ethnic,religious,gender/sexual,other
hau_d46daddeae8ef401d7238069b184a426,@USER ipob bandits how inyamiri you beheaded &amp; roasted onye ori onion,0,0,0,0,0
hau_782aae239d5b3fe2c94361058fe88540,@USER to ko a somalian in kaga mace da abaya yar wancen kungiyarne,0,0,0,0,0
hau_7779f971d0c4b9e44637afe9034d56a2,@USER wai daman ke ba inyamura bace🤔,0,0,0,0,0
hau_cc97b6b83c66c74914115b56a0c23ebd,@USER mesa mu musulmai muke da neman rigima ne. kunga wani arna a wannan platform in suna neman rigiman juna ne. pls muna hakuri da juna. we should be using this app to tolerate and decrease mocking one another. allah ya rufa mana asiri.,0,0,0,0,0
hau_44fad6b3535d91396593e8947158515a,lmao. sankara ko sakara ni. ##url,0,0,0,0,0
hau_787f60b0ee88f5e97fc94ea7fc9ceae7,da yake musulmai aka kashe yan arewa 'yan dadi arna shiru kake ji kamar maye ya ci shirwa ya sha ruwa. amma an kashe matsiyaciya deborah saboda laifin da ta aikata kun damu mutane da 6a6atu. ina shugabannin musulmi? ina yan siyasar mu? ina yan boko masu qarajin kare bil adama? ##url,1,0,1,0,0
hau_21bb1ccb1ae51e835a624d2bb39d8c1c,kananan arna 😂,0,0,0,0,0
hau_9be4235b22e613259ee2b3727ca375b7,bahaushe: bahaushe ko bamaguje? ##url,0,1,0,0,0
hau_b5a22da641b1d7b53585095e62962145,@USER i swear i was like ahhh 😮 you want cry all the shege wey you see no do you?,0,0,0,0,0
hau_c5f1f53c0618d4cff663265799a810ba,"@USER ance a daidaita sahu, su kuma sun biye ma yahudawa wai social distance",0,0,0,0,0
hau_6a00a1247114c13a0bb69ea0efc88e3a,you will see fine ass geh and be wondering if one guy is also showing this one shege too.,0,0,0,0,0
hau_fd9b1007742eec909e66a7783b43edce,"sorry bro 😂😂😂😂😂😂 i can feel your pain cos the 'almajiri students' names dey everywhere especially for rhis corona saga, for beating your whole lectures wey no fit produce common soap.... #naturallyahead din kenan #uniabujavsabuzaria #uniabujavsabu @USER ##url",0,0,0,0,0
hau_a3b2537c71110c779ea848f08c9a406c,@USER wlhy bro! let them rule inyamurai and ijaws for 50years! we no want🙌,0,0,0,0,0
hau_014c30a227d2567284bb5a789c190efa,@USER dan kutumar uba,0,0,0,0,0
hau_6106fbb7d3add6e7164bc5eb4edff17a,dama mun fada wlh bazasu iya b up atl madrid azo dashi a koma dashi sai manyan arna wlh hala madrid🙏,0,0,0,0,0
hau_e3d2d6e21bf0cabeb6b6aa3cad8e3a2a,"Haqiqa dai. Idan kuma baza a banbance ba, tamkar wanda yazo yace Izala ce boko haram ne sabila da they share the same theology. Ko baturen da zai zo yace duk musulmai yan ta’adda yayi reference da su bh, da saura groups din yan ta’adda.",0,0,0,0,0
hau_e79df308480fac2f5c5f7b1547e908d3,"this woman is real ""bamagujiya"" ##url",0,0,0,0,0
hau_348e6d06994110db315a153e6853c0b5,kaji munafika kuna fita kuna barinta zama zatayi daram!!! ##url,0,0,0,0,0
hau_d5bb596c6ec472fdaf102e0e0208b052,this is a rare opportunity for the northern elites to stamp out almajiri. the insecurity in the north provides a leeway to achieve this particular objective.,0,0,0,0,0
hau_46025d4be1fe4f772cd2097a089610df,"@USER stop looking at me like that, before kiji anfara kiran sunan dan izala 😂",0,0,0,0,0
hau_9a5909007f39b7daee9c0bda987c0f0e,"the bedrock of a successful society are experience, enlightenment,knowledge all of which quality education provides. it's a miracle that some people breed their children to be beggars without proper care and they expect them not to steal almajiri is not islam #givenortheducation",0,0,0,0,0
hau_15001ff373108e78f22dd1c1d02b9bfe,"nigeria has ruined me completely, fucked my entire system up. da ina da mugun hankali, amma yaqi da mahaukata nima na zama mahaukaci kaman su. i used to practice stoicism and my spirituality was on a 100, now everything goes, i’m just existing with a fuck face.",0,0,0,0,0
hau_f73fff3db4497be98679916000d9a853,@USER you are not among the believers ya mutua product that why she is not ur mother continue cursing her ya kafira,0,0,0,0,0
hau_84919df49cbbfbcd23090ad63922372b,@USER yar ayken yahudawa,0,0,0,0,0
hau_223c51bf470f0ebed7dd0b24c7b941dd,Nifa kullum aka yi maganar satar akwati sai na fada kafin murtala ya satarwa ganduje akwati kwankwaso ya fara satarwa kije ki bin cika 2011 ni malam Ibrahim khaleel zan zaba fa kada kice ko wai gawuna zan zaba aa sam saboda da gawuna da Abba basu chanchanci kuri'a ta ba,1,0,0,0,0
hau_92748e447632f738c596bb023033b4c4,munde saka shi cikin addu'a allah ya shirye shi dan yaron irin dan duniya ne 💔 ##url,0,0,0,0,0
hau_f51d9794df20691db0a643166e027bf2,"@USER hakane, amma ai tsoron allah a zuciya yake ba a shigar mutum ba ko rashin kamala, ita kamala wata aba ce daban da kowa zai siffantuwa da ita musulmi da kafiri",0,0,0,0,0
hau_e0686c6b22860ac89aba816000a52bbf,dan shegiya bah ##url,0,0,0,0,0
hau_2faff66e1248cb149e0326956f307a23,and this wawa cannot make such comment now ##url,0,0,0,0,0
hau_e8d49a8d48fa144b0a3e5f6ee85e06b4,"@USER kaji barauniya ko, ta fara renin hankalin nata, wane dan iska ne ze baki 1k bayan asara ne.",0,0,0,0,0
hau_5178824a415e6db17db9879c057e3e91,karamar arniya kawai 😂 ##url,0,0,0,0,0
hau_b493ef5a6fb8c25dacb51aba8c74cddb,@USER dan iska ba a abin kirki da kai. yaron nan ne naga yana so ya zama bayahude ya fara kama bindin kudade yana wani zancen ba zai aureba n all. 😹😹😹😹,0,0,0,0,0
hau_7ef83615514fda0ab6078743b08eaa92,"Duk shakiyancin da wannan agwalagwan yake, Buhari ne ya jaza mana tare da wasu sakarkaru 👁️! Gaskiyar batu knn",1,0,0,0,0
hau_4d1cf6b02593ced29e0488bf449465fe,"Yanzu waɗannan yaran za'a cewa ƴan cin amanar ƙasa?  Ku kalli yadda aka barsu yunwa ta yi musu lahani 😭 Wallahi akwai ALLAH kuma yana madakata.  AZZALUMAI KARNUKAN YAHUDAWA DA NASARA ku yanzu akwai ma ƴan cin amanar ƙasa irin ku, waɗanda ba su san ma me suke yi ba. wawaye kawai",0,0,0,0,0
hau_92275f44410e02118ebaf1a680b761a1,aswrrr elrufa’i bayahude ne 😂😂,1,0,0,0,0
hau_f2009ac81f4ee4cd53ce8bf100e9f637,Tawagar Yan Gawuna Daga Matsafa Sai Fasikai 😂😂  Inji Garba Kore Dawakin Kudu.,1,0,0,0,0
hau_8a5f6701660a55af1238ae21eae285df,muhammadu kafi sunan arna! mamman alkalin ka sai dai allah! mamman zakin daga na abashe! allah ya kara ma imani ya kuma karya makiyan ka na fili dana boye! allah ya taimaki sarkin mu. #emirofkano #masarautarkano #kanoemiratecouncil ##url,0,0,0,0,0
hau_54e39e5af8dc99edb02f5746b1d09668,masha allah dg 🥰🥰🥰🙏🙏allah y kare mana kai allah y biya ma buka tun ka na alkairi sir allah yaja da nisan kwana me albarka🤲🤲🤲 masha allah may allah bless you 🥰🙏🙏🤲🤲 ##url,0,0,0,0,0
hau_9c46affd1d0ff6ea405c25056278651c,tashin hankali: wata ta ciyo bashin abaya ta manta da shi a dan sahu 😂,0,0,0,0,0
hau_5c1d2300e9500f0a5512041aacba14ec,@USER yan iska jakan banza ba 😂😂😂 💔,0,0,0,0,0
hau_0dbd9a1ac41b27a6867d0b869391a294,@USER gaskiya it is needed,0,0,0,0,0
hau_6a9efa0af3da780a506c86581ea13a3f,@USER jaki ya ciyar da jaki kenan🤣,0,0,0,0,0
hau_19bf029316eeb4bac68c00a3fd4afb79,ai forget all these twitter noises muke zaune cikin talakawa musan duk abubuwan dake faruwa in real life yawancin masu ihun aure at so so mil iyayensu kemusu aure ina matashi dan 25years keda wata 5mil ta aure koda mutum na aiki kuma lefe ai tarawa akeyi a hankali ##url,0,0,0,0,0
hau_cb8b3be0d97f865acdedd135aeade00e,Hypocrisy of some bigots:  An kama LGA chairmen da bindugu. An kama Ado Doguwa da kisan mutane 16. An kama MDs biyu da yunqurin sata. Ankama G&G bayan sunyi satar kuri'a.  Sojoji sun harbe Kansilar APC barawon akwati.   Amma yan Kwankwasiyya sune toxic. Allah ya shirye ku.,0,0,0,0,0
