id,text,language,language_name,true_label,predicted,confidence,reasoning,error
amh_1e82c74a8a0dfa56c2157e7d0101d49c,በትግራይ መከላከያ ሰራዊት ተማርከው ምህረት የተደረገላቸው የአብይ አህመድ አሊ የቀድሞ መከላከያ የአሁን ተላላኪ ሰራዊት።...,amh,Amharic,1,1,0.8,"The text uses divisive language referring to 'Tigray Defense Forces' and 'Abiy Ahmed's former defense/current proxy army' with terms like 'captured' and 'mercy shown', creating an us-vs-them framing between opposing military forces and suggesting hostility between groups.",
amh_9b17cc8d0f7dc6e8afc802088d19d8a1,#_ኢትዮጵያዊነት_ ለንፁህ ልቦና ለአስታዋሽ #የህሌና እረፍት ነው። #ሳይሆኑ ማስመሰል ግን #የሰይጣንነት ነው።...,amh,Amharic,0,1,0.75,"The text creates a sharp moral dichotomy between 'Ethiopian-ness' as pure/restful versus 'pretending to be what you're not' as satanic/evil, using religious framing to divide people into opposing moral categories.",
amh_7f69c56101b61750e7b7812d2cf4a4ef,የአማራ ልዩ ሀይል ጥንቃቄ ማድረግ ያለበት የግንቦት 7ቱ አይነት ቁማር እንዳይበላ ነው::...,amh,Amharic,0,1,0.8,"The text warns about 'Amhara Special Forces' needing to be careful not to fall into a 'Ginbot 7-type gamble', which creates an us-vs-them framing by positioning one group (Amhara forces) against another (Ginbot 7), using cautionary language that implies threat or opposition between groups.",
amh_b3360297c706ddb6dab7fa23f5b516fb,@USER ፓፓፓፓፓ አንተን ብሎ ምሁር። በቃ አንተና መሰል የጃዋር ቡችሎች ከእናንተ ውጪ ፖለቲካ የሚያውቅ የለም !!!! ባንዳዳዳዳዳዳ!!!...,amh,Amharic,1,1,0.85,"The text contains hostile language with mocking repetition ('ፓፓፓፓፓ', 'ባንዳዳዳዳዳዳ'), dismissive insults calling someone a fake intellectual, and creates an us-vs-them division by grouping the target with 'Jawar's followers' while claiming exclusive political knowledge for their own group.",
amh_59b46408a0920c3c74dfad5c741f0729,የጎጃም አማራ ነቃ በል መንቀሳቀስ ያለብህ ወሳኝ ሰአት ላይ ነህ:: በወለጋ እያለቁ ላሉት አማሮች ከጎጃም አማራ የበለጠ ሚቀርባቸው የለም:: ልትደርስላቸው እና...,amh,Amharic,1,1,0.9,"The text uses dehumanizing language ('አውሬው' meaning 'beast') to refer to OLF/ONG, creates clear us-vs-them framing between Amhara groups and others, uses urgent mobilization language, and frames the situation as Amharas being killed/destroyed, which are strong indicators of polarizing rhetoric designed to create hostility between ethnic groups.",
amh_f4c5a463d24f7055b8f01686404513ac,@USER @USER በተግባር እያሳየንህ እኮ ነው ያለው። ያንተ ጁንታዎች እነ ጌታቸው ረዳን ብትመከራቸው ይሻላል ቂጣ የቀደደው አፉ እንዳመጣበት የውሸት።መኣት ...,amh,Amharic,1,1,0.85,"The text contains hostile language with derogatory terms like 'ጁንታዎች' (junta) and 'የውሸት መኣት' (false/lying), creating clear us-vs-them framing and expressing contempt toward opposing political figures, indicating strong polarization.",
amh_19c32808df5e471a7253f0ddc1f37956,የውጊያው ወቅታዊ ሁኔታየአማራ ክልል ፖሊስኮሚሽነር መግለጫ) - -...,amh,Amharic,0,0,0.7,"This appears to be a neutral headline or title about a current situation report and police commissioner statement regarding Amhara region. Without inflammatory language, us-vs-them framing, or hostile rhetoric, it reads as informational rather than polarizing.",
amh_4f2da3ef55e27224341b048df2b2e0f5,አሁን ፋኖ ድምጹን ያጠፋል። ከሳምንት በኋላ የመከላከያን ድል ለመንጠቅ ብቅ ይላል። ክፉ አመል...,amh,Amharic,1,1,0.85,The text contains hostile language about Fano (a political/military group) with phrases suggesting deceptive behavior and negative characterization ('ክፉ አመል' - evil deed/act). This creates an us-vs-them framing with clear antagonistic positioning.,
amh_1cf42d227b717271133467ea182a2d3f,@USER እንዴት ነው ጎበዝ የ 27 ዓመታት ተላላኪ ሰዎችን የትግራይ ህዝብ እንዲያምን የሚጠበቀው?...,amh,Amharic,1,1,0.8,The text contains divisive language questioning the credibility of '27 years of messengers/agents' and creates an us-vs-them dynamic by specifically referencing 'the people of Tigray' in a context that suggests distrust or opposition between groups.,
amh_40b4b2a1e2e42bd54d5fe28a2b245b2a,@USER እነዚህን አምኖ አማራ በሙሉ ሀይሉ እየተዋጋ መሆኑ ደሞ ሌላ ራስ ምታት ነው...,amh,Amharic,0,1,0.8,"The text contains divisive language targeting the Amhara ethnic group, suggesting they are fighting with full force based on certain beliefs, which creates an us-vs-them dynamic and ethnic polarization typical of divisive discourse.",
amh_5aa8bcf63c4259539a90e5cf2e52ac6f,የኦነግ ሸኔ አዲስ ጥቃት በወለጋ? የኦሮሚያ ልዩ ኃይል የት ነው? በትግራይ ያለው ውጥረት via @USER...,amh,Amharic,0,1,0.8,"The text references ethnic groups (OLF-Shane, Oromo, Tigray) in context of attacks and tensions, uses accusatory framing about security forces' absence, and implies conflict between different regional/ethnic groups, which creates divisive us-vs-them dynamics typical of polarized discourse.",
