id,text,language,language_name,true_label,predicted,confidence,reasoning,error
amh_1e82c74a8a0dfa56c2157e7d0101d49c,በትግራይ መከላከያ ሰራዊት ተማርከው ምህረት የተደረገላቸው የአብይ አህመድ አሊ የቀድሞ መከላከያ የአሁን ተላላኪ ሰራዊት።...,amh,Amharic,1,1,0.8,"Text uses 'mercy shown' framing for one group and labels another as 'former defense now traitor army', creating clear us-vs-them division with implied moral judgment.",
amh_9b17cc8d0f7dc6e8afc802088d19d8a1,#_ኢትዮጵያዊነት_ ለንፁህ ልቦና ለአስታዋሽ #የህሌና እረፍት ነው። #ሳይሆኑ ማስመሰል ግን #የሰይጣንነት ነው።...,amh,Amharic,0,1,0.9,Text uses strong moral dichotomy ('purity of heart' vs 'satanic') and us-vs-them framing against opposing views.,
amh_7f69c56101b61750e7b7812d2cf4a4ef,የአማራ ልዩ ሀይል ጥንቃቄ ማድረግ ያለበት የግንቦት 7ቱ አይነት ቁማር እንዳይበላ ነው::...,amh,Amharic,0,1,0.8,"Text warns Amhara special forces about 'Ginbot 7 type gambling', implying opposition groups as threats, creating us-vs-them framing.",
amh_b3360297c706ddb6dab7fa23f5b516fb,@USER ፓፓፓፓፓ አንተን ብሎ ምሁር። በቃ አንተና መሰል የጃዋር ቡችሎች ከእናንተ ውጪ ፖለቲካ የሚያውቅ የለም !!!! ባንዳዳዳዳዳዳ!!!...,amh,Amharic,1,1,0.9,"Text uses derogatory terms ('የጃዋር ቡችሎች' - 'Jawar's butches') and us-vs-them framing, claiming only 'you and your kind' understand politics while excluding others.",
amh_59b46408a0920c3c74dfad5c741f0729,የጎጃም አማራ ነቃ በል መንቀሳቀስ ያለብህ ወሳኝ ሰአት ላይ ነህ:: በወለጋ እያለቁ ላሉት አማሮች ከጎጃም አማራ የበለጠ ሚቀርባቸው የለም:: ልትደርስላቸው እና...,amh,Amharic,1,1,0.9,"Text uses strong us-vs-them framing, dehumanizing language ('the beast ONEG'), and calls for action against an opposing group.",
amh_f4c5a463d24f7055b8f01686404513ac,@USER @USER በተግባር እያሳየንህ እኮ ነው ያለው። ያንተ ጁንታዎች እነ ጌታቸው ረዳን ብትመከራቸው ይሻላል ቂጣ የቀደደው አፉ እንዳመጣበት የውሸት።መኣት ...,amh,Amharic,1,1,0.8,"Text uses 'us-vs-them' framing with derogatory terms ('your junta') and accusations of lying, indicating hostile division.",
amh_19c32808df5e471a7253f0ddc1f37956,የውጊያው ወቅታዊ ሁኔታየአማራ ክልል ፖሊስኮሚሽነር መግለጫ) - -...,amh,Amharic,0,0,0.1,Extracted from non-JSON response,
amh_4f2da3ef55e27224341b048df2b2e0f5,አሁን ፋኖ ድምጹን ያጠፋል። ከሳምንት በኋላ የመከላከያን ድል ለመንጠቅ ብቅ ይላል። ክፉ አመል...,amh,Amharic,1,1,0.8,"Text uses strong negative framing ('destroys voice', 'evil') and implies conflict between groups, creating an us-vs-them dynamic.",
amh_1cf42d227b717271133467ea182a2d3f,@USER እንዴት ነው ጎበዝ የ 27 ዓመታት ተላላኪ ሰዎችን የትግራይ ህዝብ እንዲያምን የሚጠበቀው?...,amh,Amharic,1,1,0.8,"Text questions trust in Tigrayan people regarding a specific group, implying division and potential distrust between groups.",
amh_40b4b2a1e2e42bd54d5fe28a2b245b2a,@USER እነዚህን አምኖ አማራ በሙሉ ሀይሉ እየተዋጋ መሆኑ ደሞ ሌላ ራስ ምታት ነው...,amh,Amharic,0,1,0.8,"Text uses divisive language targeting ethnic group (Amhara) with accusation of collective aggression, creating us-vs-them framing.",
amh_5aa8bcf63c4259539a90e5cf2e52ac6f,የኦነግ ሸኔ አዲስ ጥቃት በወለጋ? የኦሮሚያ ልዩ ኃይል የት ነው? በትግራይ ያለው ውጥረት via @USER...,amh,Amharic,0,1,0.8,"Text references armed groups (OLF Shene, Oromia Special Force) and conflict in Tigray, implying division and tension between opposing sides.",
