id,text,language,language_name,true_label,predicted,confidence,reasoning,error
amh_1e82c74a8a0dfa56c2157e7d0101d49c,በትግራይ መከላከያ ሰራዊት ተማርከው ምህረት የተደረገላቸው የአብይ አህመድ አሊ የቀድሞ መከላከያ የአሁን ተላላኪ ሰራዊት።...,amh,Amharic,1,1,0.85,"The text discusses military actions in Tigray and references specific political figures, indicating a division in opinions regarding the conflict, which suggests polarization.",
amh_9b17cc8d0f7dc6e8afc802088d19d8a1,#_ኢትዮጵያዊነት_ ለንፁህ ልቦና ለአስታዋሽ #የህሌና እረፍት ነው። #ሳይሆኑ ማስመሰል ግን #የሰይጣንነት ነው።...,amh,Amharic,0,1,0.85,"The text expresses strong opinions about Ethiopian identity and contrasts it with negative terms, indicating a division between those who align with the sentiment and those who do not.",
amh_7f69c56101b61750e7b7812d2cf4a4ef,የአማራ ልዩ ሀይል ጥንቃቄ ማድረግ ያለበት የግንቦት 7ቱ አይነት ቁማር እንዳይበላ ነው::...,amh,Amharic,0,1,0.85,"The text discusses a specific group (Amhara) and implies a need for vigilance against perceived threats, suggesting an 'us-vs-them' mentality.",
amh_b3360297c706ddb6dab7fa23f5b516fb,@USER ፓፓፓፓፓ አንተን ብሎ ምሁር። በቃ አንተና መሰል የጃዋር ቡችሎች ከእናንተ ውጪ ፖለቲካ የሚያውቅ የለም !!!! ባንዳዳዳዳዳዳ!!!...,amh,Amharic,1,1,0.85,"The text expresses strong negative sentiments towards a specific group ('የጃዋር ቡችሎች') and uses hostile language, indicating a clear division and us-vs-them framing.",
amh_59b46408a0920c3c74dfad5c741f0729,የጎጃም አማራ ነቃ በል መንቀሳቀስ ያለብህ ወሳኝ ሰአት ላይ ነህ:: በወለጋ እያለቁ ላሉት አማሮች ከጎጃም አማራ የበለጠ ሚቀርባቸው የለም:: ልትደርስላቸው እና...,amh,Amharic,1,1,0.85,"The text expresses a clear division between groups, specifically targeting the Amhara and contrasting them with others, indicating hostility and an us-vs-them mentality.",
amh_f4c5a463d24f7055b8f01686404513ac,@USER @USER በተግባር እያሳየንህ እኮ ነው ያለው። ያንተ ጁንታዎች እነ ጌታቸው ረዳን ብትመከራቸው ይሻላል ቂጣ የቀደደው አፉ እንዳመጣበት የውሸት።መኣት ...,amh,Amharic,1,1,0.85,"The text expresses strong negative sentiments towards a specific group ('ጁንታዎች') and uses derogatory language, indicating a clear division and hostility.",
amh_19c32808df5e471a7253f0ddc1f37956,የውጊያው ወቅታዊ ሁኔታየአማራ ክልል ፖሊስኮሚሽነር መግለጫ) - -...,amh,Amharic,0,1,0.8,"The text discusses a current situation in the Amhara region, which often involves contentious political issues, indicating potential division and hostility.",
amh_4f2da3ef55e27224341b048df2b2e0f5,አሁን ፋኖ ድምጹን ያጠፋል። ከሳምንት በኋላ የመከላከያን ድል ለመንጠቅ ብቅ ይላል። ክፉ አመል...,amh,Amharic,1,1,0.85,"The text expresses a clear division of opinion regarding a political or social issue, indicating hostility towards a group or idea, which is characteristic of polarization.",
amh_1cf42d227b717271133467ea182a2d3f,@USER እንዴት ነው ጎበዝ የ 27 ዓመታት ተላላኪ ሰዎችን የትግራይ ህዝብ እንዲያምን የሚጠበቀው?...,amh,Amharic,1,1,0.85,"The text expresses a divisive sentiment regarding a specific group (Tigray people) and implies a negative judgment about their beliefs, indicating an us-vs-them mentality.",
amh_40b4b2a1e2e42bd54d5fe28a2b245b2a,@USER እነዚህን አምኖ አማራ በሙሉ ሀይሉ እየተዋጋ መሆኑ ደሞ ሌላ ራስ ምታት ነው...,amh,Amharic,0,1,0.85,"The text expresses a strong opinion about a specific group (Amhara) and implies a division, suggesting hostility towards those who do not share the same belief.",
amh_5aa8bcf63c4259539a90e5cf2e52ac6f,የኦነግ ሸኔ አዲስ ጥቃት በወለጋ? የኦሮሚያ ልዩ ኃይል የት ነው? በትግራይ ያለው ውጥረት via @USER...,amh,Amharic,0,1,0.85,"The text raises questions about specific groups and their actions, suggesting a division between different ethnic or political factions, which indicates polarization.",
amh_c207da359f8e65d7eac1b532ec0bcac2,አማራ ግን በደሉን እንደማይረሳ ጠላቶቹም ያውቃሉ።...,amh,Amharic,0,1,0.85,"The text expresses a clear division between groups, indicating hostility towards perceived enemies ('ጠላቶቹ') and suggesting a strong in-group versus out-group mentality.",
