id,language,language_name,true_label,predicted,confidence,error
deu_73922269604c8ac488e19a807c1269f4,deu,German,0,1,0.9,
deu_e6266d5fe6a654110a8f2c4e08af27fa,deu,German,0,0,0.8,
deu_4d7f2f5c4f56fdbda6a0aad7661727af,deu,German,0,0,0.8,
deu_4256ba85970a81766825626ac5cb996c,deu,German,0,0,0.8,
deu_27b6d9adef36e16649887ecf66dcca86,deu,German,0,1,0.8,
deu_b7bfc464fd4938b9b2600d345c3efb8d,deu,German,1,1,0.8,
deu_60be580664a42a5f44f2743ab8addccc,deu,German,0,0,0.8,
deu_c1186017766c80d9f78997262884ab0c,deu,German,1,1,0.8,
deu_69fc993a66093ec003767a76934f087a,deu,German,0,0,0.9,
deu_c051ed79ac6d6c1da6c69e1115016859,deu,German,1,1,0.8,
deu_d7ff6bd6d239b95756795d453b782e59,deu,German,0,1,0.9,
deu_849e720c7e9acec7df2ed3f3134cf5e4,deu,German,1,0,0.9,
deu_aef10c0c1e2c3c5a447c1f3ea3e53be2,deu,German,0,1,0.9,
deu_ddc1ae3e17ac48aedd03d4559dc81b93,deu,German,0,1,0.8,
deu_9e7e3e8c4aeb8f48eccbe030a3332e46,deu,German,1,1,0.8,
deu_851c256d2b5cea4327f47525e688944c,deu,German,1,1,0.9,
deu_56d7dce40876d26b562ee8f0707f4e99,deu,German,1,1,0.8,
deu_0d74dac64cda778ee25d55ebf978a0dc,deu,German,1,1,0.9,
deu_84dab3de3f43eea644380830170026df,deu,German,0,0,0.8,
deu_e6f14e15d06a0eddf19409965ebf5f19,deu,German,0,0,0.9,
deu_f1b58469f7383de783cfb783059db1d0,deu,German,1,1,0.8,
deu_92577d16d6775551cd1be03ae35ca0a3,deu,German,1,1,0.8,
deu_3543c7bccd7b438e754accf08868437c,deu,German,1,1,0.9,
deu_fed2b0f9e2a73411c69109602ef528a9,deu,German,0,0,0.9,
deu_c96f770b8d2a260d0af4898b243b1ef9,deu,German,0,0,0.8,
deu_55f99e182cf43da2c435805135e45e5a,deu,German,0,0,0.9,
deu_9a9a7480f88a55e3ac2db303a1e7a1fc,deu,German,0,0,0.9,
deu_fb80228e7c8a0080fb07cb5451ac0648,deu,German,0,1,0.9,
deu_0bcb777e1b73e6dbb5c5b2ec715e8033,deu,German,1,1,0.9,
deu_d3c6859cfda16d6f96db2afa16957302,deu,German,0,0,0.9,
deu_f7cb3706585f30e67b2e75a2c926a8ba,deu,German,0,0,0.9,
deu_8aef24b32610ac93ac1a0e873ea45c00,deu,German,1,1,0.9,
deu_a9f831616d33c815332ac3149ac400e4,deu,German,1,1,0.9,
deu_a74a04d7b99681e29746616dcbfd83d9,deu,German,1,1,0.9,
deu_99b1e38b0d09b1ac17b97d24a3883523,deu,German,0,0,0.9,
deu_ff9cd00b0692b0f5770661cf25fb53b1,deu,German,0,0,0.8,
deu_2bb38e9b4ef9c92e9df862137268b19d,deu,German,0,1,0.9,
deu_ad7bad99393dc8925d1a6b943dec4399,deu,German,1,0,0.7,
deu_510d7b58c7b75cde317c190b40cf3e66,deu,German,1,1,0.9,
deu_47467bb466d02ce1bed1225f465aeffd,deu,German,1,1,0.9,
deu_ae20edc907c9afd15f2a773ba8922dda,deu,German,1,0,0.9,
deu_d2ce2eee1ef65616fa0f7bf26a894562,deu,German,0,1,0.7,
deu_9830c52c3b5509c715d264ee2ac5a3c6,deu,German,1,0,0.9,
deu_f9c2d94ad97642d9675bf006cc8170e2,deu,German,0,0,0.9,
deu_e7f2c9ec5b3fd4bc6595699392d16730,deu,German,1,0,0.9,
deu_62941d4539ceabc01f25123d2b10a8dd,deu,German,1,0,0.6,
deu_fd43466890b8771ff5931a0a7a1777d2,deu,German,0,1,0.9,
deu_e5f0a46acdc313962b945af42296d878,deu,German,0,1,0.8,
deu_79b68d3445ae73b454c1eaa3579db787,deu,German,0,0,0.8,
deu_c70e61c426096d9cb22235ad155c753d,deu,German,0,1,0.9,
deu_d17c5fa883c7203fba585280ab5295db,deu,German,0,1,0.9,
deu_00356d7581da869969549469bbbe78c2,deu,German,0,1,0.8,
deu_bc7b6b98ba1f85330a053bc636ff4619,deu,German,0,1,0.9,
deu_071d16d44fd34640e87d20308c88fe80,deu,German,0,0,0.9,
deu_23194d366842243df0f254a2cab7f7c2,deu,German,0,0,0.9,
deu_f8f5c2bb971854f608764cc72124a196,deu,German,1,1,0.8,
deu_b758990dac526d30fc215920f2f3e045,deu,German,1,1,0.8,
deu_4378787b4dcc069ebc629e7ef3221147,deu,German,1,1,0.9,
deu_75dbe4859e9ef27f3feeaca71f2c387b,deu,German,0,1,0.8,
deu_56f06b72dea64a4a9f2f419e7ba0f4a4,deu,German,1,1,0.9,
deu_b5132eb46e07d3c0643781e2f1a75404,deu,German,1,1,0.8,
deu_ff99303d19fd9450832182e109201369,deu,German,1,1,0.8,
deu_574aaf8d1069484665bbe793cd754d97,deu,German,1,1,0.8,
deu_7706705c2c4789c98ddc347d00d4bd49,deu,German,0,1,0.8,
deu_5a51863238803d89f87a6aaeaaea0ef6,deu,German,0,0,0.9,
deu_801a732d611459d186ad30ce9186f6cb,deu,German,0,0,0.9,
deu_3496a5d63551b653b88a070ca2a6b899,deu,German,0,1,0.9,
deu_d5ea6672b073925a19e78e31e3dec481,deu,German,0,1,0.9,
deu_25f7d3d3db27a9156b75dbe31f350467,deu,German,1,1,0.9,
deu_5f7a9a792b681dacaeeb7f1fba0d70bc,deu,German,1,1,0.8,
deu_659714846462df7e7e84b732da38be91,deu,German,0,0,0.8,
deu_4a5a65e3a051a482e053d2dcf1d290fb,deu,German,0,0,0.8,
deu_87301d1288e905b22138a9e39f75439d,deu,German,1,0,0.9,
deu_bdaa59acb099a8ca4d4fc8b6d3d72b17,deu,German,1,1,0.9,
deu_e037affdb8d3d01d8df2633d24651115,deu,German,1,1,0.9,
deu_c7a04190fe621df9dc6d604c37775c14,deu,German,0,0,0.9,
deu_51e6a19aae70e13aaf204c9b7acc9199,deu,German,1,1,0.8,
deu_90b8292b7552dd66539d0a6d205f2014,deu,German,0,0,0.9,
deu_457c674c6b1c4223a3c935e179c6f8bf,deu,German,1,1,0.8,
deu_da50a0063d4300c0c0a59085505ee32f,deu,German,0,1,0.9,
deu_83c09ea039cd95b7aa77b15669b919dc,deu,German,0,1,0.8,
deu_6340d1dae78869f4fb1e4273bdfb9342,deu,German,0,0,0.9,
deu_cf2679a63f1b2889b63ba715abea2da1,deu,German,0,0,0.9,
deu_357808df19011d9885046595900b95a9,deu,German,0,1,0.8,
deu_ea2e7ae0f65ec5b47eec6fff43fec99a,deu,German,0,0,0.8,
deu_60408cc1e56db7eb3918b43935b2e07c,deu,German,0,1,0.8,
deu_8ce6cdb1f1927bb35ef29b19e9ca9ab0,deu,German,0,0,0.9,
deu_3430c1d79720f7a37aeda883d5b12729,deu,German,0,0,0.9,
deu_a0fba2117253bc3f5eb0178b96b8c6e6,deu,German,0,0,0.9,
deu_c78fd5c6b6e9dc588d6d20539c2467e4,deu,German,0,1,0.9,
deu_cec21b8b3efa41282a3e4dc6682d1cc2,deu,German,0,0,0.9,
deu_11f0e9b2b75084b40cc7bd71bcb4b4c7,deu,German,0,1,0.9,
deu_e2886ba3c7173767e14a078bea11037d,deu,German,1,1,0.9,
deu_507dea7e38541828b2c164d9cb1df851,deu,German,1,1,0.9,
deu_67a683020faffb92b0fb424357285f15,deu,German,1,0,0.9,
deu_0919c161465e3724582815692727c223,deu,German,1,1,0.7,
deu_42d8606046dbd9a3cafee0ff58785fa0,deu,German,0,1,0.8,
deu_0fecef8077ac788f184c1ecd847b7e64,deu,German,0,0,0.8,
deu_3ee7c5569a4d22ddd334f18c2f7cdbda,deu,German,1,1,0.9,
deu_7bc9e92684af08e3efc1f753f76c1d98,deu,German,1,1,0.9,
