language,language_name,model,f1_score,n_samples,errors
zho,Chinese,Cohere,0.8693598633303186,100,0
zho,Chinese,Qwen2.5,0.8553121124431583,100,0
zho,Chinese,GPT-4o,0.907928388746803,100,0
zho,Chinese,DeepSeek,0.8993558776167472,100,0
zho,Chinese,Claude,0.8661311914323963,100,0
urd,Urdu,Cohere,0.6791169297907842,100,0
urd,Urdu,Qwen2.5,0.6553308823529411,100,0
urd,Urdu,GPT-4o,0.6684749849306811,100,0
urd,Urdu,DeepSeek,0.707968293700459,100,0
urd,Urdu,Claude,0.751984126984127,100,0
eng,English,Cohere,0.6198479391756703,100,0
eng,English,Qwen2.5,0.776,100,0
eng,English,GPT-4o,0.6578099838969405,100,0
eng,English,DeepSeek,0.7536945812807883,100,0
eng,English,Claude,0.8561787808385883,100,0
spa,Spanish,Cohere,0.696969696969697,100,0
spa,Spanish,Qwen2.5,0.74997499749975,100,0
spa,Spanish,GPT-4o,0.7487689679429204,100,0
spa,Spanish,DeepSeek,0.7217074440395628,100,1
spa,Spanish,Claude,0.769792813532179,100,0
deu,German,Cohere,0.66996699669967,100,0
deu,German,Qwen2.5,0.6940024479804161,100,0
deu,German,GPT-4o,0.68,100,0
deu,German,DeepSeek,0.6899689968996899,100,0
deu,German,Claude,0.7266929851199515,100,0
