id,language,language_name,true_label,predicted,confidence,error
ur_c029b310190f58d6066fa86c395418fd,urd,Urdu,1,1,0.9,
ur_eac26b6f7f7f3162bc59c8a29eb69492,urd,Urdu,0,0,0.8,
ur_884ccbd8b3eb98b9709f97853167d244,urd,Urdu,0,0,0.7,
ur_1a83e30293c3e3c3d2261c196061561e,urd,Urdu,1,1,0.85,
ur_6fa9c3864ece712bf430c11165e31977,urd,Urdu,1,1,0.85,
ur_24f83cf71406866f1f536b7d2ae76b48,urd,Urdu,0,0,0.85,
ur_f66c74452e3b3d74c0b2aebca8e4a2bb,urd,Urdu,1,1,0.8,
ur_a36d84dd071d94255cea202918d63dc0,urd,Urdu,1,1,0.8,
ur_339fd16d426fea4d13c98b47d091c58d,urd,Urdu,0,0,0.9,
ur_3455c58d8d3e8a355eeae6b9544d83e5,urd,Urdu,1,1,0.8,
ur_4e92ce3c8c0d252700d48ab045e95576,urd,Urdu,1,1,0.8,
ur_091d5f1e09452665d4a861a72d432e44,urd,Urdu,1,1,0.85,
ur_33a92021963576b72ea8e4fc52fa8753,urd,Urdu,1,1,0.85,
ur_022032a97fea3dc0cdb43ca881e6107c,urd,Urdu,1,1,0.9,
ur_d3f713a4a81f5bbca0248de419a8823e,urd,Urdu,1,1,0.8,
ur_19dd9f7d4b0b232594f7397015749bd3,urd,Urdu,1,0,0.8,
ur_8063c0fb723e31c8c2851f9f01d3006c,urd,Urdu,1,1,0.95,
ur_a010e021669e10c7e020e09f8673e215,urd,Urdu,0,0,0.8,
ur_07c30bab38667b615df35bce2cafb13a,urd,Urdu,1,0,0.7,
ur_7b5dc852a4b28c465325c83d6365168e,urd,Urdu,0,0,0.7,
ur_e1740e9077d012889c57fae562c5dd71,urd,Urdu,1,0,0.7,
ur_cd227732109cfa9e45550d3a7be4d94a,urd,Urdu,0,1,0.85,
ur_ca4a4db06fbc8ec68644ed6aa9e896a8,urd,Urdu,1,1,0.85,
ur_c49900ee038e87960c6423310ba13c47,urd,Urdu,1,1,0.8,
ur_35636dba61c5fe595cbc23716d352dc4,urd,Urdu,0,1,0.85,
ur_ccab34add4a0827ae70b40f4e0915580,urd,Urdu,1,1,0.8,
ur_e067082b7258dce1ecce226e03f65d8e,urd,Urdu,0,1,0.75,
ur_33aa1651816abfbd9d6e6985fbfffe87,urd,Urdu,1,0,0.8,
ur_28b9bba51cea20a044f77e5e7450bc81,urd,Urdu,1,1,0.85,
ur_7b5703a059ab784164585e6b17e772c6,urd,Urdu,1,1,0.9,
ur_bc7afd2b0584127ad4c471aa93d6c5cb,urd,Urdu,1,1,0.95,
ur_c7bd3f147215863c5cb70dd254b30138,urd,Urdu,0,0,0.3,
ur_7eddfb1d134399f1a14c8bd322aa2982,urd,Urdu,1,1,0.95,
ur_1c1bf4a700c2df46bb2e001c93865bb9,urd,Urdu,1,1,0.85,
ur_8a1746659c8e0403f9521a71a9aab0a2,urd,Urdu,1,1,0.85,
