id,language,language_name,true_label,predicted,confidence,error
zh_1bea02f6f3e1d5bfd6f2fbea0f9d12ff,zho,Chinese,1,1,0.85,
zh_7da89b17eb7e6e92782067460d5c3c72,zho,Chinese,0,0,0.8,
zh_3ed9ab23ca2dfd63307352f0ccbe547b,zho,Chinese,0,0,0.8,
zh_1bd073ea507a3070cb66d265db7f63dd,zho,Chinese,0,0,0.8,
zh_b0a928d13c9e88831864e1d93420e202,zho,Chinese,0,0,0.9,
zh_bfb767855e074e8d727946772d5f883e,zho,Chinese,0,0,0.85,
zh_1c6ae97276bd54fe3c4620edbeffc41f,zho,Chinese,0,0,0.9,
zh_245a1b4ef30b92583d712ce16f5a40e4,zho,Chinese,0,0,0.9,
zh_145b736ecc7328b3507adb15235dc1fc,zho,Chinese,1,1,0.85,
zh_947e5d8c187cf50bea698b483c168dec,zho,Chinese,1,0,0.7,
zh_5fb1bb48d604cd9a49899a0184291159,zho,Chinese,0,1,0.8,
zh_35a8fdbf1d0a1b91ec6f791256a425dc,zho,Chinese,0,0,0.8,
zh_e141ac96896b7f116b9a844444bd6bd4,zho,Chinese,1,1,0.8,
zh_88b1ddb613a9548be8011294de856e39,zho,Chinese,1,1,0.85,
zh_cbf10fbaae96e244c42c28ba989aa872,zho,Chinese,0,0,0.9,
zh_affb803b3a8afd06dc33e6f004f8f0ff,zho,Chinese,1,1,0.8,
zh_f36ad904df40ac1a168b438d8623ed18,zho,Chinese,1,1,0.85,
zh_1f93c2889f9f4b9e8048a9cebb346789,zho,Chinese,1,0,0.7,
zh_5d738a451de9eccd35d3bff2957ce84b,zho,Chinese,0,0,0.9,
zh_7ef1c0001741b2d7a57ec79520270e77,zho,Chinese,0,0,0.8,
zh_d6e4aa3d537c4ed660444cd419245433,zho,Chinese,0,0,0.9,
zh_2da69a75d84bf3b0855c1fdab5e81569,zho,Chinese,1,1,0.7,
zh_229223a8ef524edd48e85dc62476e26b,zho,Chinese,0,0,0.9,
zh_4955f423c85f223a9a73dc9518627dc5,zho,Chinese,1,1,0.8,
zh_ea050a6534601e1f23ae8c2e0e6a9ae9,zho,Chinese,0,0,0.9,
zh_9d31afdfb64ca1bd50d9c27c99584532,zho,Chinese,0,0,0.8,
zh_e07151d97428f3247b7701652a72a9ec,zho,Chinese,0,0,0.9,
zh_589b14c9e5c54f95540746cb11f67b3d,zho,Chinese,0,0,0.8,
zh_2de93b3ca61399a9e048fd6d78d8920a,zho,Chinese,1,1,0.95,
zh_29d0b9451e9f702494849a8667716909,zho,Chinese,1,0,0.8,
zh_7ec6deca809e77de721b7ea99a6f698c,zho,Chinese,0,0,0.7,
zh_8fe377097d1f551bed8fe1436e0f26d5,zho,Chinese,1,0,0.7,
zh_385967c7c396c7d8303a3f1d31ba7b7f,zho,Chinese,0,0,0.9,
zh_b8bb8f02c11b91c92c8140841b0a2147,zho,Chinese,1,1,0.9,
zh_8fb6ddf611fee725b5e06d0d351e0bc1,zho,Chinese,0,0,0.9,
zh_a7238ab32e56338ae637a41a8be4c95b,zho,Chinese,0,0,0.9,
zh_09e8054e0e5fbdfe8fcc1bfd3420ed7c,zho,Chinese,1,0,0.7,
zh_b4d58bd7568e96cf0da7c2efd45a95a3,zho,Chinese,1,1,0.85,
zh_1c3d92ac4c18dba2520cf28342bd48b4,zho,Chinese,1,0,0.8,
zh_174d94bf1efb24c7f10b4be876f52d8d,zho,Chinese,0,0,0.95,
zh_8079ea4a404262a9094b16f2607df285,zho,Chinese,0,0,0.9,
zh_653e96d62724c2f5b4df1bf6cf634eaf,zho,Chinese,1,1,0.85,
zh_5984882581360ad618a00f1f3d4723b6,zho,Chinese,0,0,0.8,
zh_ad85ad2bf9bcca91db5d726b9f43298e,zho,Chinese,1,0,0.7,
zh_735c8780ad60850766e2def58ed5a970,zho,Chinese,1,1,0.85,
zh_1001cbd6e2eb14ae18e3b686e61da9b0,zho,Chinese,1,1,0.9,
